"Enable Log Cleaning","启用日志清理"
"Error Email Recipient","错误邮件接收人"
"Error Email Sender","错误邮件发送人"
"Error Email Template","错误邮件模板"
"Frequency","频率"
"Log Cleaning","日志清理"
"Log cleanup Warnings","日志清理警告"
"Save Log, Days","保存日志天数"
"Start Time","开始时间"
