"All Store Views","所有店铺视图"
"End with","结束"
"Include","包含"
"Search in Items Selected","搜索已选项"
"Start with","开始"
"The user must be assigned to at least one role.","用户必须被分配给至少一个角色。"
"User Resources","用户资源"
