"Allowed file types: PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","允许的文件类型：PNG、GIF、JPG、JPEG、APNG，SVG。并非所有浏览器都支持所有这些格式！"
"Select Color:","选择颜色："
