"Custom PDF Invoice Layout","自定义PDF版发票布局"
"Footer Text","头部文字"
"Header Text","脚注文字"
"Logo for PDF","发票徽标"
"<b>Note:</b> This field will override the ""Logo for PDF print-outs"" of ""Invoice and Packing Slip Design"".","<b>注意：</b>本文件将覆盖“发票和装箱单设计”中的“PDF打印的徽标”"
